id	token	frequency
619	কিংবা	37213
620	ব্যাংকের	37113
621	বললেন	37097
622	ছবির	36990
623	জয়	36971
624	শিক্ষার্থী	36955
625	লোকজন	36920
626	মূলত	36905
627	একটু	36884
628	গঠিত	36834
629	হাত	36821
630	আশা	36805
631	দুপুরে	36757
632	সাত	36607
633	চরিত্রে	36443
634	পুরো	36337
635	সম্পর্ক	36304
636	আবুল	36283
637	প্রেসিডেন্ট	36272
638	প্রভাব	36242
639	লেখা	36241
640	প্রমুখ	36216
641	গবেষণা	36144
642	তাতে	36136
643	সবার	36130
644	দলীয়	36022
645	টেস্ট	35914
646	ঢাকায়	35877
647	ছাত্র	35833
648	মুসলিম	35643
649	যোগাযোগ	35592
650	টার	35552
651	কখনো	35490
652	কীভাবে	35404
653	শিকার	35359
654	মিয়া	35249
655	চান	35153
656	সম্প্রতি	35075
657	চারটি	35035
658	ভেঙে	35004
659	বই	34955
660	বেসরকারি	34943
661	কুমার	34935
662	হয়তো	34850
663	পাওয়ার	34790
664	বেগম	34757
665	বাকি	34743
666	ভাষা	34601
667	মাসের	34570
668	টা	34558
669	লক্ষ্য	34548
670	কার্যক্রম	34512
671	প্রস্তাব	34497
672	প্রতিবেদন	34455
673	আলো	34346
674	রাজ্যের	34346
675	শিক্ষার্থীদের	34308
676	ব্যক্তিদের	34288
677	সামরিক	34268
678	চাই	34266
679	বিদ্যুৎ	34189
680	সেটি	34168
681	অবস্থা	34148
682	কাল	34081
683	আমাকে	33981
684	তালিকা	33979
685	কাজের	33934
686	পর্যায়ে	33907
687	জনপ্রিয়	33871
688	প্রতিষ্ঠিত	33855
689	অধিকার	33689
690	অনুষ্ঠান	33656
691	মালিক	33655
692	নদীর	33639
693	আসামি	33528
694	বিয়ে	33517
695	আগেই	33444
696	পরিচালিত	33408
697	খেলোয়াড়	33405
698	অথবা	33393
699	সহায়তা	33384
700	পরিমাণ	33366
701	থাকায়	33318
702	কর্তৃপক্ষ	33313
703	বিশ্ব	33143
704	বিভাগে	33049
705	গাড়ি	33031
706	কর্মসূচি	33025
707	খালেদা	33023
708	ভাষায়	32766
709	আহ্বান	32592
710	কর্মী	32564
711	অধীনে	32538
712	শহরে	32538
713	পেয়েছেন	32491
714	যায়নি	32470
715	অনুসারে	32370
716	নদী	32212
717	অভিযোগে	32121
718	ফেলে	32086
719	বিচার	32081
720	জানিয়েছে	32048
721	কোচ	32047
722	ক্লাব	32015
723	গেছেন	32014
724	চালিয়ে	32004
725	মেয়ে	31953
726	এদিকে	31878
727	নিজ	31815
728	মুখে	31815
729	পরিষদ	31805
730	উপজেলায়	31761
731	নিয়ন্ত্রণ	31755
732	সমর্থন	31726
733	উপলক্ষে	31691
734	মৃত্যুর	31616
735	চিকিৎসা	31536
736	হামলার	31535
737	ওঠে	31511
738	পার্টির	31495
739	অঞ্চলের	31382
740	জেনারেল	31335
741	সংগঠন	31326
742	সুবিধা	31326
743	অঞ্চলে	31129
744	জমা	31105
745	বসে	31090
746	নিয়োগ	31022
747	ক্ষমতা	30992
748	প্রকল্প	30740
749	চুক্তি	30735
750	দুজন	30621
751	সংশ্লিষ্ট	30598
752	ছাত্রলীগের	30580
753	ধরা	30570
754	মতে	30443
755	কমিশন	30435
756	জায়গায়	30414
757	শ্রমিক	30413
758	নেতৃত্বে	30327
759	নির্মিত	30221
760	বৃদ্ধি	30208
761	বল	30002
762	পড়েছে	29996
763	বাহিনীর	29942
764	উদ্যোগ	29919
765	ঘণ্টা	29916
766	ভারতে	29911
767	এস	29874
768	কেবল	29857
769	আন্দোলন	29836
770	হত্যার	29780
771	একাধিক	29767
772	পরিবেশ	29757
773	গুলি	29707
774	সংগ্রহ	29699
775	পরিণত	29638
776	দীর্ঘ	29628
777	রাখার	29592
778	কঠিন	29523
779	মন্ত্রণালয়ের	29489
780	কর্তৃক	29481
781	দিয়েছিলেন	29436
782	জায়গা	29405
783	যেকোনো	29402
784	আপনার	29323
785	চূড়ান্ত	29286
786	শক্তি	29155
787	অংশগ্রহণ	29137
788	পরিস্থিতি	29080
789	থাকলে	29064
790	ম	29042
791	অন্তত	28991
792	সরাসরি	28960
793	ব্যবসায়ী	28921
794	পণ্য	28902
795	মন্ত্রী	28901
796	নগরের	28900
797	রাজা	28898
798	আনা	28859
799	এছাড়াও	28842
800	শহীদ	28830
801	দিক	28797
802	একমাত্র	28784
803	বাড়ির	28730
804	আগুন	28715
805	আইনজীবী	28682
806	দরকার	28614
807	বিদ্যালয়ের	28541
808	অর্থনৈতিক	28502
809	আধুনিক	28455
810	বেড়ে	28443
811	ডি	28403
812	সুপার	28385
813	উঠে	28274
814	প্রমাণ	28261
815	একে	28232
816	রেকর্ড	28191
817	এমনকি	28161
818	প্রথমে	28158
819	দখল	28152
820	কার্যালয়ে	28079
821	অধিনায়ক	28078
822	গ্রাম	28044
823	নির্দিষ্ট	28032
824	নিয়মিত	27979
825	ইতিহাস	27975
826	সাংস্কৃতিক	27891
827	আলাদা	27867
828	চায়	27861
829	মন্তব্য	27860
830	খাবার	27847
831	ইত্যাদি	27842
832	অর্থাৎ	27824
833	সৈয়দ	27782
834	পেয়েছে	27771
835	হাসপাতালের	27758
836	জমি	27739
837	শাহ	27701
838	পরিচয়	27694
839	রাজ্য	27693
840	পথ	27652
841	কিছুটা	27648
842	কমে	27641
843	করেছি	27623
844	উঠেছে	27596
845	ব্যক্তিগত	27596
846	সড়কের	27571
847	নিজেকে	27555
848	স্থাপন	27527
849	জীবনের	27510
850	বিজ্ঞান	27499
851	যুদ্ধ	27378
852	আরেকটি	27376
853	নিয়েছেন	27371
854	জানিয়ে	27358
855	সেবা	27349
856	মাঝে	27340
857	সমিতির	27330
858	জন্মগ্রহণ	27293
859	আপনি	27242
860	দশমিক	27206
861	পারবেন	27191
862	পোশাক	27187
863	স্বাধীনতা	27120
864	নিয়েছে	27080
865	বাহিনী	27079
866	চলাচল	27040
867	হয়েছিলেন	27040
868	আদালতের	27035
869	অন্যদিকে	26991
870	যাঁরা	26986
871	ডিগ্রি	26872
872	কারও	26835
873	মৌসুমে	26833
874	খুবই	26831
875	অতিথি	26809
876	ব্যবস্থাপনা	26795
877	ছবিতে	26756
878	ভবন	26726
879	রাজশাহী	26676
880	মিটার	26675
881	ছড়িয়ে	26668
882	ডলার	26648
883	কৃষি	26504
884	বিরোধী	26501
885	হারিয়ে	26494
886	ধর্মীয়	26492
887	নিচে	26478
888	অঞ্চল	26467
889	প্রতিষ্ঠা	26464
890	লোক	26425
891	যেসব	26416
892	ভিত্তিতে	26393
893	অনেকে	26371
894	সভা	26357
895	আয়োজিত	26344
896	আসার	26342
897	আসছে	26318
898	উল্লেখযোগ্য	26297
899	শিল্প	26282
900	প্রতিষ্ঠানের	26242
901	পেতে	26200
902	রাজধানী	26198
903	তুলনায়	26103
904	ব্যক্তির	26095
905	গল্প	26086
906	পুরুষ	26079
907	মন্ত্রণালয়	26077
908	সমস্ত	26066
909	স্বামী	26017
910	ব্যাপক	25972
911	খরচ	25942
912	পূর্বে	25936
913	মডেল	25908
914	ইসলামের	25878
915	সদস্যরা	25856
916	প্রযুক্তি	25802
917	উৎপাদন	25760
918	খ	25674
919	হিন্দু	25617
920	বর্ণনা	25495
921	সম্পর্কিত	25492
922	থাকলেও	25454
923	বাধা	25375
924	সর্বশেষ	25373
925	ভুল	25314
926	সাংবাদিকদের	25313
927	তারপর	25312
928	সচিব	25312
929	আট	25264
930	আইনের	25252
931	ফল	25236
932	মহানগর	25229
933	করছি	25218
934	সাহায্য	25183
935	আরব	25169
936	ম্যাচের	25066
937	উভয়	25056
938	লেখক	25050
939	ঘরে	24983
940	মাছ	24971
941	সিলেট	24890
942	ইন্টারনেট	24887
943	চিকিৎসক	24853
944	বয়সে	24847
945	আহমদ	24846
946	জনের	24839
947	দাবিতে	24801
948	চতুর্থ	24790
949	প্রয়োজনীয়	24754
950	অভিনেত্রী	24743
951	উদ্বোধন	24713
952	পরের	24678
953	নাগরিক	24667
954	প্রশ্নের	24631
955	পরামর্শ	24627
956	নির্বাচনী	24575
957	বিমান	24535
958	জরুরি	24531
959	অভিনেতা	24528
960	অস্ত্র	24364
961	মত	24359
962	হোক	24345
963	প্রতিবেদনে	24328
964	ব্যবসা	24313
965	বিশ্বকাপ	24309
966	প্রশাসন	24301
967	বলছেন	24272
968	রক্ষা	24232
969	বাসিন্দা	24222
970	রানের	24209
971	স্টেশন	24179
972	করলেন	24168
973	কর্মীরা	24161
974	বয়সী	24158
975	সরবরাহ	24150
976	আয়	24141
977	কার্যালয়	24131
978	অথচ	24117
979	পারেননি	24115
980	মাহমুদ	24114
981	বিশ্ববিদ্যালয়ে	24113
982	বাদ	24103
983	তরুণ	24101
984	পা	24096
985	আ	24020
986	ভিন্ন	24011
987	সন্ধ্যায়	24011
988	পরবর্তীতে	23985
989	পাঁচটি	23935
990	আর্থিক	23895
991	সম্মেলন	23895
992	শিশুদের	23884
993	কার্যকর	23839
994	স্থায়ী	23809
995	খেলতে	23731
996	নিজস্ব	23722
997	লাল	23693
998	কর্মীদের	23668
999	চলচ্চিত্রে	23651
1000	শব্দ	23651
1001	দেবে	23591
1002	বহু	23591
1003	বলেছিলেন	23569
1004	রাষ্ট্রপতি	23557
1005	মুহাম্মদ	23549
1006	সকল	23503
1007	রয়েছেন	23487
1008	যুক্তরাষ্ট্র	23485
1009	মসজিদ	23475
1010	তে	23436
1011	বিকেল	23424
1012	বয়স	23391
1013	সাংবাদিক	23374
1014	প্রাচীন	23341
1015	শীর্ষ	23337
1016	উৎসব	23272
1017	সৌদি	23270
1018	আন্দোলনের	23265
1019	বরং	23253
1020	প্রশিক্ষণ	23237
1021	মনোনয়ন	23231
1022	নিউ	23161
1023	অনুমতি	23147
1024	আরেক	23145
1025	খেলায়	23131
1026	জনগণের	23125
1027	সম্পন্ন	23121
1028	পারবে	23111
1029	আসতে	23071
1030	নেমে	23046
1031	চাপ	23043
1032	হাসিনা	23038
1033	প্রকল্পের	23032
1034	রেলওয়ে	23028
1035	পারেনি	23014
1036	স্বীকার	23011
1037	ভিত্তি	23000
1038	একক	22990
1039	সংস্থার	22978
1040	খুঁজে	22976
1041	পেছনে	22959
1042	সঠিক	22942
1043	কোম্পানি	22902
1044	ছাড়াও	22889
1045	পরিবহন	22868
1046	বঙ্গবন্ধু	22868
1047	অনুষ্ঠানের	22850
1048	শিক্ষার্থীরা	22850
1049	কামাল	22828
1050	প্রতিদিন	22794
1051	ফোন	22790
1052	এভাবে	22778
1053	সম্পূর্ণ	22723
1054	নাকি	22707
1055	ক্রিকেটে	22672
1056	চট্টগ্রামের	22660
1057	পালিয়ে	22651
1058	গানের	22644
1059	বি	22610
1060	ভেতরে	22608
1061	প্রধানমন্ত্রীর	22584
1062	আলোর	22563
1063	পৌর	22557
1064	বাতিল	22551
1065	বলছে	22524
1066	এদের	22522
1067	কত	22521
1068	শিল্পী	22507
1069	আসন	22502
1070	অবৈধ	22493
1071	বিখ্যাত	22485
1072	শ	22449
1073	বিদেশি	22442
1074	সদস্যদের	22363
1075	দূরে	22314
1076	চা	22301
1077	শাখা	22278
1078	টায়	22270
1079	অনেকেই	22232
1080	ঘ	22208
1081	প্রবেশ	22178
1082	খারাপ	22174
1083	কর্মকর্তারা	22171
1084	সন্তান	22166
1085	কাজী	22148
1086	রহমানের	22105
1087	করায়	22104
1088	গ্রুপ	22071
1089	হাসপাতাল	22036
1090	নামক	22028
1091	কেন্দ্রে	22024
1092	চিহ্নিত	22020
1093	প্রচার	22011
1094	প্রস্তুতি	22005
1095	সংগঠনের	21987
1096	বাবার	21962
1097	দেশটির	21888
1098	স্বাভাবিক	21879
1099	বেশির	21861
1100	শক্তিশালী	21826
1101	বৈঠকে	21792
1102	ভিডিও	21786
1103	থানা	21780
1104	বাধ্য	21704
1105	মাথায়	21684
1106	অত্যন্ত	21667
1107	পরও	21662
1108	ইউপি	21635
1109	রানে	21608
1110	কমিশনের	21557
1111	জেলায়	21539
1112	তালিকায়	21502
1113	টেলিভিশন	21490
1114	অভিষেক	21478
1115	কবি	21458
1116	আসলে	21456
1117	আক্রমণ	21416
1118	আদেশ	21360
1119	মায়ের	21320
1120	নারীর	21310
1121	নাটক	21298
1122	অবশ্যই	21272
1123	করব	21264
1124	পরীক্ষার	21257
1125	চলতি	21242
1126	ক	21234
1127	বৈঠক	21216
1128	ইবনে	21198
1129	মেনে	21121
1130	হিসাব	21099
1131	পড়েন	21075
1132	পাস	21064
1133	জ্যেষ্ঠ	21001
1134	ওয়েস্ট	21000
1135	আঞ্চলিক	20973
1136	মিনিটে	20973
1137	নন	20919
1138	কারাগারে	20888
1139	প্রক্রিয়া	20866
1140	গ্যাস	20858
1141	কেটে	20849
1142	নেতারা	20837
1143	বাসায়	20833
1144	তৈরির	20831
1145	চলচ্চিত্রের	20812
1146	ধীরে	20784
1147	নারীদের	20749
1148	দিলে	20748
1149	দূর	20730
1150	টানা	20707
1151	সক্ষম	20667
1152	আবারও	20653
1153	নগর	20646
1154	শুরুর	20638
1155	লিখেছেন	20611
1156	ঘটেছে	20598
1157	প্রতিনিধি	20595
1158	শ্রেণির	20593
1159	টেস্টে	20573
1160	কর	20572
1161	সন্ধ্যা	20572
1162	পারি	20563
1163	অনুমোদন	20530
1164	বিচারপতি	20528
1165	দিলেন	20524
1166	যুগ্ম	20472
1167	কবির	20449
1168	বোর্ড	20445
1169	জিয়া	20413
1170	পার্টি	20386
1171	সফল	20383
1172	পক্ষের	20378
1173	বিবেচনা	20358
1174	ছবিটি	20330
1175	কমিশনার	20296
1176	ভবনের	20293
1177	বন্ধু	20261
1178	নির্মাণের	20245
1179	ঘুরে	20217
1180	কাদের	20208
1181	আমেরিকান	20189
1182	চীনের	20130
1183	মাধ্যমিক	20111
1184	অস্ট্রেলিয়া	20081
1185	মুখ	20052
1186	আসনের	20037
1187	পানির	20019
1188	তারকা	20014
1189	মিলিয়ন	20000
1190	ভাষার	19995
1191	তৎকালীন	19981
1192	পয়েন্ট	19974
1193	আক্রান্ত	19948
1194	আবদুর	19939
1195	পরাজিত	19922
1196	পুরোনো	19875
1197	ফুট	19837
